,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,STXUSDT Perpetual,Isolated,Short 5.00x,"02/19/2024, 10:53:07",2.6833 USDT,+8.28 USDT,186 Contracts,"02/21/2024, 07:26:47",2.6800 USDT,+0.82%
1,IMXUSDT Perpetual,Isolated,Short 2.00x,"02/20/2024, 01:42:28",3.3647 USDT,+9.44 USDT,"2,979 Contracts","02/20/2024, 09:29:31",3.3600 USDT,+0.18%
2,TRBUSDT Perpetual,Cross,Long 3.00x,"02/15/2024, 07:43:39",128.08 USDT,+66.06 USDT,424 Contracts,"02/20/2024, 00:30:22",130.41 USDT,+3.64%
3,WLDUSDT Perpetual,Isolated,Short 1.00x,"02/19/2024, 02:40:42",7.464 USDT,+89.69 USDT,515 Contracts,"02/19/2024, 02:48:41",7.282 USDT,+2.33%
4,STXUSDT Perpetual,Isolated,Short 5.00x,"02/18/2024, 18:10:26",2.6546 USDT,+42.57 USDT,188 Contracts,"02/18/2024, 22:35:39",2.6293 USDT,+4.26%
5,TRBUSDT Perpetual,Isolated,Long 5.00x,"02/07/2024, 20:05:38",114.95 USDT,+396.65 USDT,434 Contracts,"02/18/2024, 11:07:48",125.25 USDT,+39.75%
6,TRBUSDT Perpetual,Isolated,Long 5.00x,"02/03/2024, 14:41:36",114.37 USDT,+418.54 USDT,437 Contracts,"02/18/2024, 11:07:48",125.26 USDT,+41.86%
7,IMXUSDT Perpetual,Isolated,Short 2.00x,"02/17/2024, 00:58:55",3.0774 USDT,+88.37 USDT,"3,030 Contracts","02/17/2024, 07:49:49",3.0459 USDT,+1.89%
8,STORJUSDT Perpetual,Isolated,Long 5.00x,"02/12/2024, 13:14:45",0.6550 USDT,+53.86 USDT,335 Contracts,"02/16/2024, 08:22:51",0.6742 USDT,+12.27%
9,STORJUSDT Perpetual,Isolated,Long 5.00x,"02/07/2024, 12:07:48",0.6700 USDT,-3.99 USDT,"1,194 Contracts","02/16/2024, 08:22:51",0.6742 USDT,-0.25%
10,STXUSDT Perpetual,Isolated,Short 5.00x,"02/14/2024, 22:34:25",2.7467 USDT,+135.85 USDT,191 Contracts,"02/15/2024, 01:09:15",2.6729 USDT,+12.94%
11,TRBUSDT Perpetual,Cross,Long 3.00x,"02/12/2024, 13:04:20",124.91 USDT,+6.88 USDT,416 Contracts,"02/14/2024, 22:52:54",125.55 USDT,+0.39%
12,TRBUSDT Perpetual,Cross,Long 3.00x,"02/12/2024, 12:54:35",123.74 USDT,+133.60 USDT,970 Contracts,"02/14/2024, 22:52:54",125.51 USDT,+3.33%
13,IMXUSDT Perpetual,Isolated,Short 3.00x,"02/14/2024, 15:53:20",3.3108 USDT,+30.15 USDT,709 Contracts,"02/14/2024, 20:05:59",3.2670 USDT,+3.85%
14,IMXUSDT Perpetual,Isolated,Short 3.00x,"02/14/2024, 15:53:14",3.3122 USDT,+92.18 USDT,"2,060 Contracts","02/14/2024, 20:05:59",3.2662 USDT,+4.05%
15,SUSHIUSDT Perpetual,Isolated,Long 3.00x,"02/12/2024, 11:29:38",1.1703 USDT,+122.94 USDT,"23,266 Contracts","02/14/2024, 02:58:55",1.1770 USDT,+1.35%
16,IMXUSDT Perpetual,Isolated,Short 3.00x,"02/12/2024, 14:10:13",3.0731 USDT,+138.68 USDT,"1,626 Contracts","02/12/2024, 18:14:36",2.9858 USDT,+8.32%
17,IMXUSDT Perpetual,Isolated,Short 3.00x,"02/12/2024, 12:36:06",3.0985 USDT,+40.58 USDT,"2,412 Contracts","02/12/2024, 14:09:18",3.0786 USDT,+1.62%
18,TRBUSDT Perpetual,Cross,Long 3.00x,"02/12/2024, 09:56:51",120.19 USDT,+364.98 USDT,"2,139 Contracts","02/12/2024, 12:36:24",122.04 USDT,+4.25%
19,TRBUSDT Perpetual,Cross,Long 3.00x,"02/09/2024, 11:43:16",116.27 USDT,+296.07 USDT,860 Contracts,"02/12/2024, 09:56:14",120.06 USDT,+8.88%
20,SOLUSDT Perpetual,Isolated,Long 5.00x,"02/12/2024, 09:35:08",107.88 USDT,+30.89 USDT,46 Contracts,"02/12/2024, 09:56:02",108.66 USDT,+3.11%
21,TIAUSDT Perpetual,Isolated,Long 5.00x,"02/12/2024, 06:14:39",18.942 USDT,+163.53 USDT,263 Contracts,"02/12/2024, 09:56:01",19.583 USDT,+16.41%
22,IMXUSDT Perpetual,Isolated,Short 3.00x,"02/12/2024, 05:06:51",2.9120 USDT,-14.52 USDT,"1,716 Contracts","02/12/2024, 05:35:57",2.9175 USDT,-0.88%
23,IMXUSDT Perpetual,Isolated,Short 3.00x,"02/12/2024, 05:07:02",2.9106 USDT,+1.45 USDT,858 Contracts,"02/12/2024, 05:31:20",2.9059 USDT,+0.17%
24,UMAUSDT Perpetual,Isolated,Long 5.00x,"02/10/2024, 10:10:02",4.100 USDT,+25.90 USDT,"19,516 Contracts","02/12/2024, 01:22:14",4.120 USDT,+1.61%
25,SUSHIUSDT Perpetual,Isolated,Long 10.00x,"02/09/2024, 11:10:59",1.1366 USDT,+50.62 USDT,"4,402 Contracts","02/10/2024, 22:23:17",1.1498 USDT,+10.11%
26,SUSHIUSDT Perpetual,Isolated,Long 10.00x,"02/09/2024, 06:52:49",1.1425 USDT,+24.82 USDT,"4,377 Contracts","02/10/2024, 22:23:09",1.1499 USDT,+4.96%
27,IMXUSDT Perpetual,Isolated,Short 3.00x,"02/10/2024, 11:54:51",2.7954 USDT,+82.41 USDT,"1,788 Contracts","02/10/2024, 22:22:58",2.7469 USDT,+4.94%
28,LUNCUSDT Perpetual,Isolated,Long 10.00x,"02/05/2024, 04:36:46",0.00011387 USDT,+31.68 USDT,"7,029 Contracts","02/09/2024, 20:34:14",0.00011460 USDT,+3.95%
29,SOLUSDT Perpetual,Isolated,Long 5.00x,"02/03/2024, 11:38:07",97.93 USDT,+26.93 USDT,20 Contracts,"02/07/2024, 15:23:25",99.50 USDT,+6.87%
30,SOLUSDT Perpetual,Isolated,Long 5.00x,"02/03/2024, 01:16:20",99.41 USDT,-14.30 USDT,80 Contracts,"02/07/2024, 15:23:25",99.50 USDT,-0.90%
31,GALAUSDT Perpetual,Isolated,Long 5.00x,"02/07/2024, 13:02:05",0.02256 USDT,+50.37 USDT,"22,163 Contracts","02/07/2024, 14:44:04",0.02281 USDT,+5.03%
32,TIAUSDT Perpetual,Cross,Long 2.00x,"02/06/2024, 09:31:37",17.294 USDT,+399.71 USDT,315 Contracts,"02/07/2024, 11:03:19",18.544 USDT,+14.67%
33,TIAUSDT Perpetual,Cross,Long 2.00x,"02/06/2024, 09:31:16",17.307 USDT,+129.34 USDT,103 Contracts,"02/07/2024, 11:03:19",18.545 USDT,+14.51%
34,TIAUSDT Perpetual,Cross,Long 2.00x,"02/06/2024, 09:31:10",17.311 USDT,+361.23 USDT,399 Contracts,"02/07/2024, 11:03:19",18.202 USDT,+10.45%
35,TIAUSDT Perpetual,Isolated,Long 3.00x,"02/03/2024, 14:29:56",18.076 USDT,+148.77 USDT,276 Contracts,"02/07/2024, 11:03:14",18.550 USDT,+8.94%
36,TIAUSDT Perpetual,Isolated,Long 3.00x,"02/03/2024, 11:48:02",18.226 USDT,+56.72 USDT,219 Contracts,"02/07/2024, 11:03:14",18.420 USDT,+4.26%
37,TIAUSDT Perpetual,Isolated,Long 3.00x,"02/03/2024, 11:39:04",18.211 USDT,+20.40 USDT,329 Contracts,"02/07/2024, 10:52:11",18.207 USDT,+1.02%
38,TIAUSDT Perpetual,Cross,Long 2.00x,"02/06/2024, 08:14:32",17.190 USDT,+363.01 USDT,549 Contracts,"02/07/2024, 09:34:45",17.842 USDT,+7.69%
39,TIAUSDT Perpetual,Cross,Long 2.00x,"02/06/2024, 01:55:55",17.872 USDT,-25.64 USDT,264 Contracts,"02/07/2024, 08:42:01",17.762 USDT,-1.09%
40,TIAUSDT Perpetual,Cross,Long 2.00x,"02/06/2024, 01:49:53",17.797 USDT,+40.57 USDT,281 Contracts,"02/07/2024, 08:42:01",17.955 USDT,+1.62%
41,STORJUSDT Perpetual,Isolated,Long 5.00x,"02/03/2024, 14:37:35",0.6452 USDT,+12.17 USDT,775 Contracts,"02/06/2024, 09:09:47",0.6479 USDT,+1.21%
42,STORJUSDT Perpetual,Isolated,Long 5.00x,"02/03/2024, 14:37:29",0.6449 USDT,+16.81 USDT,776 Contracts,"02/06/2024, 09:09:47",0.6482 USDT,+1.67%
43,TIAUSDT Perpetual,Cross,Long 2.00x,"02/06/2024, 00:29:46",17.617 USDT,+109.04 USDT,693 Contracts,"02/06/2024, 01:49:44",17.792 USDT,+1.78%
44,TIAUSDT Perpetual,Cross,Long 2.00x,"02/05/2024, 12:44:16",17.473 USDT,+166.68 USDT,416 Contracts,"02/05/2024, 22:11:48",17.889 USDT,+4.58%
45,TIAUSDT Perpetual,Cross,Long 2.00x,"02/05/2024, 12:44:13",17.473 USDT,+161.27 USDT,400 Contracts,"02/05/2024, 22:11:48",17.889 USDT,+4.61%
46,TIAUSDT Perpetual,Cross,Long 2.00x,"02/05/2024, 07:38:32",17.990 USDT,-31.26 USDT,277 Contracts,"02/05/2024, 21:36:22",17.885 USDT,-1.26%
47,TIAUSDT Perpetual,Cross,Long 2.00x,"02/05/2024, 07:30:31",17.888 USDT,-3.15 USDT,279 Contracts,"02/05/2024, 21:36:22",17.885 USDT,-0.13%
48,LINKUSDT Perpetual,Isolated,Short 3.00x,"02/05/2024, 09:47:26",19.196 USDT,+7.53 USDT,538 Contracts,"02/05/2024, 10:31:42",19.168 USDT,+0.21%
49,BTCUSDT Perpetual,Isolated,Long 10.00x,"02/05/2024, 02:11:02","43,131.5 USDT",+10.58 USDT,11 Contracts,"02/05/2024, 07:02:02","43,270.9 USDT",+2.23%
